areaType,Nation,areaCode,date,newAdmissions,cumAdmissions,Ratio,newAdmissionsper100000,cumAdmissionper100000
nation,England,E92000001,15/09/2023,325,1066607,565.5,0.574712644,1886.130858
nation,England,E92000001,14/09/2023,338,1066282,565.5,0.597701149,1885.556145
nation,England,E92000001,13/09/2023,376,1065944,565.5,0.66489832,1884.958444
nation,England,E92000001,12/09/2023,434,1065568,565.5,0.767462423,1884.293546
nation,England,E92000001,11/09/2023,447,1065134,565.5,0.790450928,1883.526083
nation,England,E92000001,10/09/2023,457,1064687,565.5,0.808134394,1882.735632
nation,England,E92000001,09/09/2023,390,1064230,565.5,0.689655172,1881.927498
nation,England,E92000001,08/09/2023,382,1063840,565.5,0.6755084,1881.237843
nation,England,E92000001,07/09/2023,474,1063458,565.5,0.838196286,1880.562334
nation,England,E92000001,06/09/2023,500,1062984,565.5,0.884173298,1879.724138
nation,England,E92000001,05/09/2023,499,1062484,565.5,0.882404951,1878.839965
nation,England,E92000001,04/09/2023,544,1061985,565.5,0.961980548,1877.95756
nation,England,E92000001,03/09/2023,536,1061441,565.5,0.947833775,1876.995579
nation,England,E92000001,02/09/2023,362,1060905,565.5,0.640141468,1876.047745
nation,England,E92000001,01/09/2023,360,1060543,565.5,0.636604775,1875.407604
nation,England,E92000001,31/08/2023,362,1060183,565.5,0.640141468,1874.770999
nation,England,E92000001,30/08/2023,447,1059821,565.5,0.790450928,1874.130858
nation,England,E92000001,29/08/2023,414,1059374,565.5,0.732095491,1873.340407
nation,England,E92000001,28/08/2023,413,1058960,565.5,0.730327144,1872.608311
nation,England,E92000001,27/08/2023,285,1058547,565.5,0.50397878,1871.877984
nation,England,E92000001,26/08/2023,254,1058262,565.5,0.449160035,1871.374005
nation,England,E92000001,25/08/2023,272,1058008,565.5,0.480990274,1870.924845
nation,England,E92000001,24/08/2023,350,1057736,565.5,0.618921309,1870.443855
nation,England,E92000001,23/08/2023,333,1057386,565.5,0.588859416,1869.824934
nation,England,E92000001,22/08/2023,376,1057053,565.5,0.66489832,1869.236074
nation,England,E92000001,21/08/2023,381,1056677,565.5,0.673740053,1868.571176
nation,England,E92000001,20/08/2023,340,1056296,565.5,0.601237843,1867.897436
nation,England,E92000001,19/08/2023,230,1055956,565.5,0.406719717,1867.296198
nation,England,E92000001,18/08/2023,271,1055726,565.5,0.479221927,1866.889478
nation,England,E92000001,17/08/2023,307,1055455,565.5,0.542882405,1866.410256
nation,England,E92000001,16/08/2023,335,1055148,565.5,0.59239611,1865.867374
nation,England,E92000001,15/08/2023,358,1054813,565.5,0.633068081,1865.274978
nation,England,E92000001,14/08/2023,361,1054455,565.5,0.638373121,1864.64191
nation,England,E92000001,13/08/2023,369,1054094,565.5,0.652519894,1864.003537
nation,England,E92000001,12/08/2023,253,1053725,565.5,0.447391689,1863.351017
nation,England,E92000001,11/08/2023,260,1053472,565.5,0.459770115,1862.903625
nation,England,E92000001,10/08/2023,313,1053212,565.5,0.553492485,1862.443855
nation,England,E92000001,09/08/2023,336,1052899,565.5,0.594164456,1861.890363
nation,England,E92000001,08/08/2023,357,1052563,565.5,0.631299735,1861.296198
nation,England,E92000001,07/08/2023,361,1052206,565.5,0.638373121,1860.664898
nation,England,E92000001,06/08/2023,309,1051845,565.5,0.546419098,1860.026525
nation,England,E92000001,05/08/2023,211,1051536,565.5,0.373121132,1859.480106
nation,England,E92000001,04/08/2023,229,1051325,565.5,0.40495137,1859.106985
nation,England,E92000001,03/08/2023,277,1051096,565.5,0.489832007,1858.702034
nation,England,E92000001,02/08/2023,293,1050819,565.5,0.518125553,1858.212202
nation,England,E92000001,01/08/2023,273,1050526,565.5,0.482758621,1857.694076
nation,England,E92000001,31/07/2023,258,1050253,565.5,0.456233422,1857.211317
nation,England,E92000001,30/07/2023,293,1049995,565.5,0.518125553,1856.755084
nation,England,E92000001,29/07/2023,181,1049702,565.5,0.320070734,1856.236958
nation,England,E92000001,28/07/2023,171,1049521,565.5,0.302387268,1855.916888
nation,England,E92000001,27/07/2023,253,1049350,565.5,0.447391689,1855.6145
nation,England,E92000001,26/07/2023,210,1049097,565.5,0.371352785,1855.167109
nation,England,E92000001,25/07/2023,204,1048887,565.5,0.360742706,1854.795756
nation,England,E92000001,24/07/2023,248,1048683,565.5,0.438549956,1854.435013
nation,England,E92000001,23/07/2023,203,1048435,565.5,0.358974359,1853.996463
nation,England,E92000001,22/07/2023,148,1048232,565.5,0.261715296,1853.637489
nation,England,E92000001,21/07/2023,132,1048084,565.5,0.233421751,1853.375774
nation,England,E92000001,20/07/2023,169,1047952,565.5,0.298850575,1853.142352
nation,England,E92000001,19/07/2023,184,1047783,565.5,0.325375774,1852.843501
nation,England,E92000001,18/07/2023,142,1047599,565.5,0.251105217,1852.518126
nation,England,E92000001,17/07/2023,143,1047457,565.5,0.252873563,1852.26702
nation,England,E92000001,16/07/2023,132,1047314,565.5,0.233421751,1852.014147
nation,England,E92000001,15/07/2023,125,1047182,565.5,0.221043324,1851.780725
nation,England,E92000001,14/07/2023,101,1047057,565.5,0.178603006,1851.559682
nation,England,E92000001,13/07/2023,133,1046956,565.5,0.235190097,1851.381079
nation,England,E92000001,12/07/2023,139,1046823,565.5,0.245800177,1851.145889
nation,England,E92000001,11/07/2023,157,1046684,565.5,0.277630416,1850.900088
nation,England,E92000001,10/07/2023,161,1046527,565.5,0.284703802,1850.622458
nation,England,E92000001,09/07/2023,128,1046366,565.5,0.226348364,1850.337754
nation,England,E92000001,08/07/2023,112,1046238,565.5,0.198054819,1850.111406
nation,England,E92000001,07/07/2023,100,1046126,565.5,0.17683466,1849.913351
nation,England,E92000001,06/07/2023,120,1046026,565.5,0.212201592,1849.736516
nation,England,E92000001,05/07/2023,113,1045906,565.5,0.199823165,1849.524315
nation,England,E92000001,04/07/2023,142,1045793,565.5,0.251105217,1849.324492
nation,England,E92000001,03/07/2023,115,1045651,565.5,0.203359859,1849.073386
nation,England,E92000001,02/07/2023,97,1045536,565.5,0.17152962,1848.870027
nation,England,E92000001,01/07/2023,70,1045439,565.5,0.123784262,1848.698497
nation,England,E92000001,30/06/2023,93,1045369,565.5,0.164456233,1848.574713
nation,England,E92000001,29/06/2023,106,1045276,565.5,0.187444739,1848.410256
nation,England,E92000001,28/06/2023,121,1045170,565.5,0.213969938,1848.222812
nation,England,E92000001,27/06/2023,97,1045049,565.5,0.17152962,1848.008842
nation,England,E92000001,26/06/2023,107,1044952,565.5,0.189213086,1847.837312
nation,England,E92000001,25/06/2023,102,1044845,565.5,0.180371353,1847.648099
nation,England,E92000001,24/06/2023,95,1044743,565.5,0.167992927,1847.467728
nation,England,E92000001,23/06/2023,80,1044648,565.5,0.141467728,1847.299735
nation,England,E92000001,22/06/2023,124,1044568,565.5,0.219274978,1847.158267
nation,England,E92000001,21/06/2023,125,1044444,565.5,0.221043324,1846.938992
nation,England,E92000001,20/06/2023,167,1044319,565.5,0.295313882,1846.717949
nation,England,E92000001,19/06/2023,150,1044152,565.5,0.265251989,1846.422635
nation,England,E92000001,18/06/2023,146,1044002,565.5,0.258178603,1846.157383
nation,England,E92000001,17/06/2023,124,1043856,565.5,0.219274978,1845.899204
nation,England,E92000001,16/06/2023,115,1043732,565.5,0.203359859,1845.679929
nation,England,E92000001,15/06/2023,160,1043617,565.5,0.282935455,1845.476569
nation,England,E92000001,14/06/2023,212,1043457,565.5,0.374889478,1845.193634
nation,England,E92000001,13/06/2023,246,1043245,565.5,0.435013263,1844.818744
nation,England,E92000001,12/06/2023,223,1042999,565.5,0.394341291,1844.383731
nation,England,E92000001,11/06/2023,252,1042776,565.5,0.445623342,1843.98939
nation,England,E92000001,10/06/2023,180,1042524,565.5,0.318302387,1843.543767
nation,England,E92000001,09/06/2023,183,1042344,565.5,0.323607427,1843.225464
nation,England,E92000001,08/06/2023,255,1042161,565.5,0.450928382,1842.901857
nation,England,E92000001,07/06/2023,272,1041906,565.5,0.480990274,1842.450928
nation,England,E92000001,06/06/2023,290,1041634,565.5,0.512820513,1841.969938
nation,England,E92000001,05/06/2023,276,1041344,565.5,0.48806366,1841.457118
nation,England,E92000001,04/06/2023,255,1041068,565.5,0.450928382,1840.969054
