areaType,Nation,areaCode,date,newVaccines,cumVaccines,newPeopleVaccinatedFirstDoseByPublishDate,cumPeopleVaccinatedFirstDoseByPublishDate,newPeopleVaccinatedSecondDoseByPublishDate,cumPeopleVaccinatedSecondDoseByPublishDate,newPeopleVaccinatedThirdInjectionByPublishDate,cumPeopleVaccinatedThirdInjectionByPublishDate,ratio,newVacinesper100000,cumVaccinesper100000
nation,England,E92000001,13/09/2023,0,,0,45417090,0,42951064,0,33906503,565.5,0,0
nation,England,E92000001,12/09/2023,0,,0,45417090,0,42951064,0,33906503,565.5,0,0
nation,England,E92000001,11/09/2023,0,,0,45417090,0,42951064,0,33906503,565.5,0,0
nation,England,E92000001,10/09/2023,,,0,,0,,0,,565.5,0,0
nation,England,E92000001,09/09/2023,0,,0,45417090,0,42951064,0,33906503,565.5,0,0
nation,England,E92000001,08/09/2023,0,,0,45417090,0,42951064,0,33906503,565.5,0,0
nation,England,E92000001,07/09/2023,0,,0,45417090,0,42951064,0,33906503,565.5,0,0
nation,England,E92000001,06/09/2023,0,,0,45417090,0,42951064,0,33906503,565.5,0,0
nation,England,E92000001,05/09/2023,,,0,,0,,0,,565.5,0,0
nation,England,E92000001,04/09/2023,,,0,,0,,0,,565.5,0,0
nation,England,E92000001,03/09/2023,,,0,,0,,0,,565.5,0,0
nation,England,E92000001,02/09/2023,,,0,,0,,0,,565.5,0,0
nation,England,E92000001,01/09/2023,,,0,,0,,0,,565.5,0,0
nation,England,E92000001,31/08/2023,0,,0,45417090,0,42951064,0,33906503,565.5,0,0
nation,England,E92000001,30/08/2023,0,,0,45417090,0,42951064,0,33906503,565.5,0,0
nation,England,E92000001,29/08/2023,0,,0,45417090,0,42951064,0,33906503,565.5,0,0
nation,England,E92000001,28/08/2023,,,0,,0,,0,,565.5,0,0
nation,England,E92000001,27/08/2023,,,0,,0,,0,,565.5,0,0
nation,England,E92000001,26/08/2023,0,,0,45417090,0,42951064,0,33906503,565.5,0,0
nation,England,E92000001,25/08/2023,0,,0,45417090,0,42951064,0,33906503,565.5,0,0
nation,England,E92000001,24/08/2023,0,,0,45417090,0,42951064,0,33906503,565.5,0,0
nation,England,E92000001,23/08/2023,0,,0,45417090,0,42951064,0,33906503,565.5,0,0
nation,England,E92000001,22/08/2023,0,,0,45417090,0,42951064,0,33906503,565.5,0,0
nation,England,E92000001,21/08/2023,0,,0,45417090,0,42951064,0,33906503,565.5,0,0
nation,England,E92000001,20/08/2023,,,0,,0,,0,,565.5,0,0
nation,England,E92000001,19/08/2023,,,0,,0,,0,,565.5,0,0
nation,England,E92000001,18/08/2023,0,,0,45417090,0,42951064,0,33906503,565.5,0,0
nation,England,E92000001,17/08/2023,0,,0,45417090,0,42951064,0,33906503,565.5,0,0
nation,England,E92000001,16/08/2023,0,,0,45417090,0,42951064,0,33906503,565.5,0,0
nation,England,E92000001,15/08/2023,0,,0,45417090,0,42951064,0,33906503,565.5,0,0
nation,England,E92000001,14/08/2023,0,,0,45417090,0,42951064,0,33906503,565.5,0,0
nation,England,E92000001,13/08/2023,,,0,,0,,0,,565.5,0,0
nation,England,E92000001,12/08/2023,0,,0,45417090,0,42951064,0,33906503,565.5,0,0
nation,England,E92000001,11/08/2023,0,,0,45417090,0,42951064,0,33906503,565.5,0,0
nation,England,E92000001,10/08/2023,0,,0,45417090,0,42951064,0,33906503,565.5,0,0
nation,England,E92000001,09/08/2023,0,,0,45417090,0,42951064,0,33906503,565.5,0,0
nation,England,E92000001,08/08/2023,0,,0,45417090,0,42951064,0,33906503,565.5,0,0
nation,England,E92000001,07/08/2023,0,,0,45417090,0,42951064,0,33906503,565.5,0,0
nation,England,E92000001,06/08/2023,0,,0,45417090,0,42951064,0,33906503,565.5,0,0
nation,England,E92000001,05/08/2023,0,,0,45417090,0,42951064,0,33906503,565.5,0,0
nation,England,E92000001,04/08/2023,0,,0,45417090,0,42951064,0,33906503,565.5,0,0
nation,England,E92000001,03/08/2023,0,,0,45417090,0,42951064,0,33906503,565.5,0,0
nation,England,E92000001,02/08/2023,0,,0,45417090,0,42951064,0,33906503,565.5,0,0
nation,England,E92000001,01/08/2023,0,,0,45417090,0,42951064,0,33906503,565.5,0,0
nation,England,E92000001,31/07/2023,0,,0,45417090,0,42951064,0,33906503,565.5,0,0
nation,England,E92000001,30/07/2023,,,0,,0,,0,,565.5,0,0
nation,England,E92000001,29/07/2023,0,,0,45417090,0,42951064,0,33906503,565.5,0,0
nation,England,E92000001,28/07/2023,0,,0,45417090,0,42951064,0,33906503,565.5,0,0
nation,England,E92000001,27/07/2023,0,,0,45417090,0,42951064,0,33906503,565.5,0,0
nation,England,E92000001,26/07/2023,0,,0,45417090,0,42951064,0,33906503,565.5,0,0
nation,England,E92000001,25/07/2023,0,,0,45417090,0,42951064,0,33906503,565.5,0,0
nation,England,E92000001,24/07/2023,0,,0,45417090,0,42951064,0,33906503,565.5,0,0
nation,England,E92000001,23/07/2023,,,0,,0,,0,,565.5,0,0
nation,England,E92000001,22/07/2023,0,,0,45417090,0,42951064,0,33906503,565.5,0,0
nation,England,E92000001,21/07/2023,0,,0,45417090,0,42951064,0,33906503,565.5,0,0
nation,England,E92000001,20/07/2023,0,,0,45417090,0,42951064,0,33906503,565.5,0,0
nation,England,E92000001,19/07/2023,0,,0,45417090,0,42951064,0,33906503,565.5,0,0
nation,England,E92000001,18/07/2023,0,,0,45417090,0,42951064,0,33906503,565.5,0,0
nation,England,E92000001,17/07/2023,0,,0,45417090,0,42951064,0,33906503,565.5,0,0
nation,England,E92000001,16/07/2023,0,,0,45417090,0,42951064,0,33906503,565.5,0,0
nation,England,E92000001,15/07/2023,0,,0,45417090,0,42951064,0,33906503,565.5,0,0
nation,England,E92000001,14/07/2023,0,,0,45417090,0,42951064,0,33906503,565.5,0,0
nation,England,E92000001,13/07/2023,0,,0,45417090,0,42951064,0,33906503,565.5,0,0
nation,England,E92000001,12/07/2023,0,,0,45417090,0,42951064,0,33906503,565.5,0,0
nation,England,E92000001,11/07/2023,0,,0,45417090,0,42951064,0,33906503,565.5,0,0
nation,England,E92000001,10/07/2023,0,,0,45417090,0,42951064,0,33906503,565.5,0,0
nation,England,E92000001,09/07/2023,0,149398324,0,45417090,0,42951064,0,33906503,565.5,0,264188.0177
nation,England,E92000001,08/07/2023,0,149398324,0,45417090,0,42951064,0,33906503,565.5,0,264188.0177
nation,England,E92000001,07/07/2023,0,149398324,0,45417090,0,42951064,0,33906503,565.5,0,264188.0177
nation,England,E92000001,06/07/2023,0,149398324,0,45417090,0,42951064,0,33906503,565.5,0,264188.0177
nation,England,E92000001,05/07/2023,0,149398324,0,45417090,0,42951064,0,33906503,565.5,0,264188.0177
nation,England,E92000001,04/07/2023,0,149398324,0,45417090,0,42951064,0,33906503,565.5,0,264188.0177
nation,England,E92000001,03/07/2023,0,149398324,0,45417090,0,42951064,0,33906503,565.5,0,264188.0177
nation,England,E92000001,02/07/2023,0,149394829,0,45417090,0,42951064,0,33906503,565.5,0,264181.8373
nation,England,E92000001,01/07/2023,0,149394829,0,45417090,0,42951064,0,33906503,565.5,0,264181.8373
nation,England,E92000001,30/06/2023,0,149394829,0,45417090,0,42951064,0,33906503,565.5,0,264181.8373
nation,England,E92000001,29/06/2023,0,149394829,0,45417090,0,42951064,0,33906503,565.5,0,264181.8373
nation,England,E92000001,28/06/2023,0,149394829,0,45417090,0,42951064,0,33906503,565.5,0,264181.8373
nation,England,E92000001,27/06/2023,0,149394829,0,45417090,0,42951064,0,33906503,565.5,0,264181.8373
nation,England,E92000001,26/06/2023,0,149394829,0,45417090,0,42951064,0,33906503,565.5,0,264181.8373
