,year,location,average_aged_70_older,average_cardiovasc_death_rate,average_hosp_patients_per_million,average_icu_patients_per_million,average_new_cases_per_ten_million,average_new_deaths_per_million,average_people_fully_vaccinated_per_hundred,average_people_vaccinated_per_hundred,average_population_density,average_reproduction_rate,uk_other,marker_size
0,2020,Ireland,8.678,126.459,5.651290323,0,10.59425806,1.162322581,0,0.003225806,69.874,1.341290323,Other,1
1,2020,Israel,7.359,93.32,107.4255806,14.65251613,28.66663871,1.563451613,0,1.511290323,402.606,1.349354839,Other,1
2,2020,Italy,16.24,113.151,510.1697097,50.90851613,27.21682903,10.21764516,0,0.004193548,205.859,0.872580645,Other,1
3,2020,Japan,18.493,79.37,12.96341935,1.22316129,2.174206452,0.337032258,0,0,347.778,1.111290323,Other,1
4,2020,Latvia,14.136,350.06,0,0,33.73698387,6.954806452,0,0.011935484,31.212,1.13516129,Other,1
5,2020,Liechtenstein,0,0,120.4913226,0,74.50789355,22.13109677,0,0,237.012,1.035483871,Other,1
6,2020,Lithuania,13.778,342.989,618.0045484,0,96.83550323,13.85309677,0,0.041290323,45.135,1.078064516,Other,1
7,2020,Luxembourg,9.842,128.275,302.306871,62.5136129,53.72682903,4.333612903,0,0.012258065,231.447,0.907096774,Other,1
8,2020,Malta,11.324,168.711,0,3.56883871,15.4306,5.081032258,0,0,1454.037,0.964193548,Other,1
9,2020,Netherlands,11.881,109.361,0,0,45.54196452,3.443612903,0,0,508.544,1.132580645,Other,1
10,2020,New Zealand,9.72,128.797,0,0,0.065945161,0,0,0,18.206,0.941290323,Other,1
11,2020,Norway,10.813,114.316,24.11787097,0,8.048016129,0.617290323,0,0.003870968,14.462,1.015806452,Other,1
12,2020,Poland,10.202,227.331,467.6606129,0,24.63895484,9.275096774,0,0.007741935,124.027,0.857096774,Other,1
13,2020,Portugal,14.924,127.842,302.9806452,49.09606452,31.00473226,6.840548387,0,0,112.371,1.005806452,Other,1
14,2020,Saudi Arabia,1.845,259.538,0,0,0.4849,0.292483871,0,0,15.322,0.871290323,Other,1
15,2020,Singapore,7.049,92.243,0,0,0.203725806,0,0,0.000645161,7915.731,1.226451613,Other,1
16,2020,Slovenia,12.93,153.493,587.5967742,93.99658065,60.1687871,19.96493548,0,0.067096774,102.619,1.016774194,Other,1
17,2020,South Korea,8.622,85.998,0,4.190387097,1.651190323,0.232741935,0,0,527.967,1.199032258,Other,1
18,2020,Spain,13.799,99.403,199.8354839,43.54616129,16.00415161,3.529774194,0,0,93.105,1.071612903,Other,1
