,week_start,iso_code,location,average_weekly_percent_population_vaccinated,total_weekly_icu_patients_per_million,total_weekly_new_cases_per_ten_million,total_weekly_new_deaths_per_million,total_weekly_new_vaccinatons_per_thousand
0,2019-12-30,DEU,Germany,0.0,0.0,0.0012000000000000001,0.036,0.0
1,2019-12-30,FRA,France,0.0,0.0,0.0,0.0,0.0
2,2019-12-30,GBR,United Kingdom,0.0,0.0,0.0,0.0,0.0
3,2019-12-30,NZL,New Zealand,0.0,0.0,0.0,0.0,0.0
4,2019-12-30,OWID_EUN,European Union,0.0,0.0,0.0004,0.007,0.0
5,2019-12-30,USA,United States,0.0,0.0,0.0,0.0,0.0
6,2020-01-06,DEU,Germany,0.0,0.0,0.0,0.0,0.0
7,2020-01-06,FRA,France,0.0,0.0,0.0,0.0,0.0
8,2020-01-06,GBR,United Kingdom,0.0,0.0,0.0,0.0,0.0
9,2020-01-06,NZL,New Zealand,0.0,0.0,0.0,0.0,0.0
10,2020-01-06,OWID_EUN,European Union,0.0,0.0,0.0,0.0,0.0
11,2020-01-06,USA,United States,0.0,0.0,0.0,0.0,0.0
12,2020-01-13,DEU,Germany,0.0,0.0,0.0,0.0,0.0
13,2020-01-13,FRA,France,0.0,0.0,0.0,0.0,0.0
14,2020-01-13,GBR,United Kingdom,0.0,0.0,0.0,0.0,0.0
15,2020-01-13,NZL,New Zealand,0.0,0.0,0.0,0.0,0.0
16,2020-01-13,OWID_EUN,European Union,0.0,0.0,0.0004,0.0,0.0
17,2020-01-13,USA,United States,0.0,0.0,0.0,0.0,0.0
18,2020-01-20,DEU,Germany,0.0,0.0,0.0012000000000000001,0.036,0.0
19,2020-01-20,FRA,France,0.0,0.0,0.0046,0.0,0.0
20,2020-01-20,GBR,United Kingdom,0.0,0.0,0.0,0.0,0.0
21,2020-01-20,NZL,New Zealand,0.0,0.0,0.0,0.0,0.0
22,2020-01-20,OWID_EUN,European Union,0.0,0.0,0.0010999999999999998,0.007,0.0
23,2020-01-20,USA,United States,0.0,0.0,0.0021,0.0,0.0
24,2020-01-27,DEU,Germany,0.0,0.0,0.0108,0.036,0.0
25,2020-01-27,FRA,France,0.0,0.0,0.0046,0.0,0.0
26,2020-01-27,GBR,United Kingdom,0.0,0.0,0.0015,0.015,0.0
27,2020-01-27,NZL,New Zealand,0.0,0.0,0.0,0.0,0.0
28,2020-01-27,OWID_EUN,European Union,0.0,0.0,0.004,0.007,0.0
29,2020-01-27,USA,United States,0.0,0.0,0.0006000000000000001,0.0,0.0
30,2020-02-03,DEU,Germany,0.0,0.0,0.0108,0.0,0.0
31,2020-02-03,FRA,France,0.0,0.0,0.0093,0.0,0.0
32,2020-02-03,GBR,United Kingdom,0.0,0.0,0.029700000000000004,0.015,0.0
33,2020-02-03,NZL,New Zealand,0.0,0.0,0.0,0.0,0.0
34,2020-02-03,OWID_EUN,European Union,0.0,0.0,0.0042,0.0,0.0
35,2020-02-03,USA,United States,0.0,0.0,0.0033000000000000004,0.0,0.0
36,2020-02-10,DEU,Germany,0.0,0.0,0.006,0.0,0.0
37,2020-02-10,FRA,France,0.0,0.0,0.0,0.0,0.0
38,2020-02-10,GBR,United Kingdom,0.0,0.0,0.0163,0.0,0.0
39,2020-02-10,NZL,New Zealand,0.0,0.0,0.0,0.0,0.0
40,2020-02-10,OWID_EUN,European Union,0.0,0.0,0.0022,0.002,0.0
41,2020-02-10,USA,United States,0.0,0.0,0.0012000000000000001,0.0,0.0
42,2020-02-17,DEU,Germany,0.0,0.0,0.0072,0.012,0.0
43,2020-02-17,FRA,France,0.0,0.0,0.0062,0.0,0.0
44,2020-02-17,GBR,United Kingdom,0.0,0.0,0.0045000000000000005,0.0,0.0
45,2020-02-17,NZL,New Zealand,0.0,0.0,0.0,0.0,0.0
46,2020-02-17,OWID_EUN,European Union,0.0,0.0,0.021099999999999997,0.007,0.0
47,2020-02-17,USA,United States,0.0,0.0,0.0048000000000000004,0.0,0.0
48,2020-02-24,DEU,Germany,0.0,0.0,0.16670000000000001,0.012,0.0
49,2020-02-24,FRA,France,0.0,0.0,0.0,0.0,0.0
50,2020-02-24,GBR,United Kingdom,0.0,0.0,0.049,0.015,0.0
51,2020-02-24,NZL,New Zealand,0.0,0.0,0.0193,0.0,0.0
52,2020-02-24,OWID_EUN,European Union,0.0,0.0,0.3075,0.062,0.0
53,2020-02-24,USA,United States,0.0,0.0,0.0099,0.003,0.0
54,2020-03-02,DEU,Germany,0.0,0.0,1.0855000000000001,0.144,0.0
55,2020-03-02,FRA,France,0.0,0.0,0.0,0.0,0.0
56,2020-03-02,GBR,United Kingdom,0.0,0.0,0.4606,0.09,0.0
57,2020-03-02,NZL,New Zealand,0.0,0.0,0.0772,0.0,0.0
58,2020-03-02,OWID_EUN,European Union,0.0,0.0,1.8441,0.546,0.0
59,2020-03-02,USA,United States,0.0,0.0,0.11560000000000001,0.05399999999999999,0.0
60,2020-03-09,DEU,Germany,0.0,0.0,7.7258,1.008,0.0
61,2020-03-09,FRA,France,0.0,0.0,0.0,0.665,0.0
62,2020-03-09,GBR,United Kingdom,0.0,0.0,2.8159,0.6819999999999999,0.0
63,2020-03-09,NZL,New Zealand,0.0,0.0,0.05790000000000001,0.0,0.0
