,week_start,indicator,European Union,France,Germany,New Zealand,United Kingdom,United States
1,2019-12-30,ICU patients per million,0.0,0.0,0.0,0.0,0.0,0.0
2,2019-12-30,New cases per ten million,0.0004,0.0,0.0012000000000000001,0.0,0.0,0.0
3,2019-12-30,Deaths per million,0.007,0.0,0.036,0.0,0.0,0.0
6,2020-01-06,ICU patients per million,0.0,0.0,0.0,0.0,0.0,0.0
7,2020-01-06,New cases per ten million,0.0,0.0,0.0,0.0,0.0,0.0
8,2020-01-06,Deaths per million,0.0,0.0,0.0,0.0,0.0,0.0
11,2020-01-13,ICU patients per million,0.0,0.0,0.0,0.0,0.0,0.0
12,2020-01-13,New cases per ten million,0.0004,0.0,0.0,0.0,0.0,0.0
13,2020-01-13,Deaths per million,0.0,0.0,0.0,0.0,0.0,0.0
16,2020-01-20,ICU patients per million,0.0,0.0,0.0,0.0,0.0,0.0
17,2020-01-20,New cases per ten million,0.0010999999999999998,0.0046,0.0012000000000000001,0.0,0.0,0.0021
18,2020-01-20,Deaths per million,0.007,0.0,0.036,0.0,0.0,0.0
21,2020-01-27,ICU patients per million,0.0,0.0,0.0,0.0,0.0,0.0
22,2020-01-27,New cases per ten million,0.004,0.0046,0.0108,0.0,0.0015,0.0006000000000000001
23,2020-01-27,Deaths per million,0.007,0.0,0.036,0.0,0.015,0.0
26,2020-02-03,ICU patients per million,0.0,0.0,0.0,0.0,0.0,0.0
27,2020-02-03,New cases per ten million,0.0042,0.0093,0.0108,0.0,0.029700000000000004,0.0033000000000000004
28,2020-02-03,Deaths per million,0.0,0.0,0.0,0.0,0.015,0.0
31,2020-02-10,ICU patients per million,0.0,0.0,0.0,0.0,0.0,0.0
32,2020-02-10,New cases per ten million,0.0022,0.0,0.006,0.0,0.0163,0.0012000000000000001
33,2020-02-10,Deaths per million,0.002,0.0,0.0,0.0,0.0,0.0
36,2020-02-17,ICU patients per million,0.0,0.0,0.0,0.0,0.0,0.0
37,2020-02-17,New cases per ten million,0.021099999999999997,0.0062,0.0072,0.0,0.0045000000000000005,0.0048000000000000004
38,2020-02-17,Deaths per million,0.007,0.0,0.012,0.0,0.0,0.0
41,2020-02-24,ICU patients per million,0.0,0.0,0.0,0.0,0.0,0.0
42,2020-02-24,New cases per ten million,0.3075,0.0,0.16670000000000001,0.0193,0.049,0.0099
43,2020-02-24,Deaths per million,0.062,0.0,0.012,0.0,0.015,0.003
46,2020-03-02,ICU patients per million,0.0,0.0,0.0,0.0,0.0,0.0
47,2020-03-02,New cases per ten million,1.8441,0.0,1.0855000000000001,0.0772,0.4606,0.11560000000000001
